draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2011,20,15,78.0,79.0,87.0,106.0,32.0,138.0,25.5,227,5.4,9.75,11.25,70,14.1,1,1,0.449,0.25,0.74,0,1,0,1,407,
2013,24,0,82.0,83.5,88.0,109.0,32.5,141.5,28.0,239,8.4,9.0,11.0,51,7.1,1,1,0.52,0.0,0.61,0,0,1,0,285,
2009,22,2,85.25,86.5,90.25,113.0,31.328233887876998,144.39242614798974,27.25669594620293,267,6.7,9.444824527964379,9.987159378090489,100,10.3,1,1,0.611,0.0,0.63,0,0,1,1,224,
2015,22,44,76.5,77.5,81.0,100.0,33.0,133.0,26.5,213,5.9,8.25,9.25,79,10.1,1,1,0.37200000000000005,0.37,0.78,1,0,0,1,128,
2009,21,19,72.25,73.5,79.5,98.5,36.5,135.0,30.5,175,4.5,8.470707709278773,9.195383533696901,61,16.4,1,1,0.462,0.42,0.81,1,0,0,1,668,
2015,22,46,75.0,76.25,82.75,102.5,40.5,143.0,32.5,215,6.4,9.25,9.0,141,9.8,1,1,0.461,0.31,0.75,1,0,0,1,193,
2010,20,19,74.0,75.25,79.25,98.5,37.5,136.0,31.5,180,4.0,8.25,9.5,34,11.6,1,1,0.43200000000000005,0.38,0.55,1,0,0,1,459,
2010,21,14,80.0,81.25,85.25,107.0,33.5,140.5,28.5,240,5.3,9.25,10.25,97,16.1,1,1,0.585,0.33,0.73,0,1,0,1,557,
2011,20,41,75.25,77.25,79.5,102.0,32.0,134.0,24.5,190,5.3,8.75,10.0,67,9.9,1,1,0.469,0.22,0.7,1,0,0,1,132,
2012,20,10,75.5,77.0,79.25,96.5,37.5,134.0,32.5,203,6.2,8.5,10.0,34,15.5,1,1,0.433,0.37,0.66,1,0,0,1,407,
2011,24,0,77.75,78.5,82.5,103.5,36.0,139.5,32.5,205,4.8,8.5,10.0,103,12.7,1,1,0.444,0.35,0.67,1,0,0,0,3,
2014,20,22,75.5,76.75,82.0,102.0,29.5,131.5,24.5,209,10.8,8.5,7.5,69,16.4,1,1,0.467,0.33,0.84,1,0,0,1,32,
2013,22,0,69.5,71.5,74.25,92.0,38.5,130.5,33.0,177,4.7,7.75,9.75,99,9.7,1,1,0.395,0.35,0.76,1,0,0,0,148,
2009,22,28,76.25,77.25,78.5,100.0,38.0,138.0,31.5,202,5.5,8.380092191261507,9.121729966776568,115,14.7,1,1,0.46299999999999997,0.4,0.81,1,0,0,1,590,
2009,24,36,77.25,78.75,82.75,105.5,33.0,138.5,27.5,223,4.9,8.765208142834886,9.434757626187986,143,13.2,1,1,0.498,0.36,0.69,0,1,0,1,249,
2010,23,4,78.25,79.25,85.0,106.0,37.0,143.0,32.0,206,4.6,9.0,9.5,93,13.9,1,1,0.45399999999999996,0.35,0.77,0,1,0,1,569,
2013,22,13,82.75,84.0,81.75,108.0,29.5,137.5,24.5,234,6.7,8.5,10.0,101,8.9,1,1,0.594,0.33,0.71,0,0,1,1,352,
2009,23,27,78.25,79.75,82.0,105.0,34.41259263710833,137.9991308802465,29.159172627927568,207,6.3,8.697246504321935,9.379517450997735,134,11.2,1,1,0.535,0.28,0.6,0,1,0,1,487,
