name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Rashad Vaughn,289,"University of Nevada, Las Vegas",2015,19,17,75.75,77,79,101,34,135,28,199,6.2,8,8.5,23,17.8,1,1,0.439,0.38,0.69,1,0,0,1,139,
Sam Dekker,290,University of Wisconsin,2015,21,18,79.75,81,83.5,106,34.5,140.5,25.5,219,7.5,8.5,9.25,113,12.1,1,1,0.493,0.35,0.7,0,1,0,1,151,
Jerian Grant,291,University of Notre Dame,2015,23,19,75.25,76.25,79.5,100,,,,198,5.6,8.25,8.5,119,14.6,1,1,0.436,0.35,0.79,1,0,0,1,211,
D'Angelo Russell,292,Ohio State University,2015,19,2,75.25,77,81.75,102,,,,193,8.3,8.75,9.75,35,19.3,1,1,0.449,0.41,0.76,1,0,0,1,189,
Delon Wright,293,University of Utah,2015,23,20,76.25,77.5,79.5,101.5,31,132.5,29.5,181,6.6,8,8.5,68,15,1,1,0.535,0.3,0.81,1,0,0,1,121,
Justin Anderson,294,University of Virginia,2015,22,21,77.25,78.25,83.75,101,43,144,38,231,5,8.5,9.5,98,8.9,1,1,0.43,0.36,0.75,1,0,0,1,167,
Bobby Portis,295,University of Arkansas,2015,20,22,81.5,82.5,86,108.5,31.5,140,25,246,8.9,9.5,9.25,70,15,1,1,0.526,0.37,0.74,0,1,0,1,197,
Rondae Hollis-Jefferson,296,University of Arizona,2015,20,23,77.5,79,86,104,38,142,32,211,5,8.75,9.75,76,10.2,1,1,0.496,0.21,0.7,0,1,0,1,173,
Tyus Jones,297,Duke University,2015,19,24,72.25,74,77,97,32.5,129.5,26.5,185,6.5,8.25,8.75,39,11.8,1,1,0.417,0.38,0.89,1,0,0,1,177,
Jarell Martin,298,Louisiana State University,2015,21,25,80,81.25,81.75,106.5,34.5,141,28.5,239,10.1,8.25,,65,13.7,1,1,0.494,0.31,0.69,0,1,0,1,142,
Larry Nance,299,Clemson University,2015,22,27,79.5,80.5,85.5,108,37.5,145.5,29,227,6.4,9,9.75,117,11.5,1,1,0.533,0,0.63,0,1,0,1,920,
R.J. Hunter,300,Georgia State University,2015,22,28,76.5,78,82.5,104,33.5,137.5,27.5,185,6,8.5,8.25,99,18.4,1,1,0.423,0.35,0.85,1,0,0,1,43,
Chris McCullough,301,Syracuse University,2015,20,29,80.25,81,87.25,109,,,,199,6.2,8.75,8.75,16,9.3,1,1,0.478,1,0.56,0,1,0,1,59,
Kevon Looney,302,"University of California, Los Angeles",2015,19,30,80,81.25,87.5,110,,,,222,11.9,9.5,9.25,36,11.6,1,1,0.47,0.42,0.63,0,1,0,1,123,
Montrezl Harrell,303,University of Louisville,2015,21,32,79,79.5,88.25,109,,,,253,11.9,9,9.75,112,11.6,1,1,0.586,0.28,0.53,0,1,0,1,171,
Jordan Mickey,304,Louisiana State University,2015,21,33,79,80.25,87.25,106,37.5,143.5,33,238,7.2,8.75,9.5,65,14,1,1,0.518,0.07,0.67,0,1,0,1,64,
Anthony Brown,305,Stanford University,2015,23,34,77.25,80.5,83.25,104.5,34.5,139,27.5,211,6.1,8.5,9,144,10.8,1,1,0.428,0.4,0.75,0,1,0,1,41,
Rakeem Christmas,306,Syracuse University,2015,24,36,80.25,81.75,89.25,110.5,,,29,243,9.6,9.25,,142,7.4,1,1,0.56,0,0.68,0,1,0,1,30,
Richaun Holmes,307,Bowling Green State University,2015,22,37,80.25,81.5,85.5,108,36,144,32.5,243,8.8,8.5,8.5,95,11.5,1,1,0.554,0.35,0.7,0,1,0,1,154,
Pat Connaughton,308,University of Notre Dame,2015,22,41,76,77.25,80.75,96,44,140,37.5,215,10.2,8.5,9.25,139,10.5,1,1,0.45,0.39,0.78,1,0,0,1,153,
Andrew Harrison,309,University of Kentucky,2015,22,44,76.5,77.5,81,100,33,133,26.5,213,5.9,8.25,9.25,79,10.1,1,1,0.372,0.37,0.78,1,0,0,1,128,
Marcus Thornton,310,Louisiana State University,2015,22,45,73.75,74.75,79.75,97.5,43,140.5,34.5,177,5.3,8.25,8.5,66,20.4,1,1,0.455,0.38,0.77,1,0,0,1,483,
Norman Powell,311,"University of California, Los Angeles",2015,22,46,75,76.25,82.75,102.5,40.5,143,32.5,215,6.4,9.25,9,141,9.8,1,1,0.461,0.31,0.75,1,0,0,1,193,
Dakari Johnson,312,University of Kentucky,2015,22,48,83,83.75,86,112,25,137,22.5,265,14.9,9.25,10.5,78,5.8,1,1,0.537,0,0.56,0,0,1,1,29,
Branden Dawson,313,Michigan State University,2015,22,56,77.5,78.75,83,105,34.5,139.5,28.5,230,5.8,9,8.75,130,10.1,1,1,0.559,0,0.56,0,1,0,1,6,
Willie Cauley-Stein,314,University of Kentucky,2015,22,6,83.25,84.5,87,111,,,,242,6.3,9.5,9,105,8,1,1,0.593,0,0.51,0,1,0,1,212,
Stanley Johnson,315,University of Arizona,2015,19,8,77,78.5,83.5,102,,,,242,7.5,9,9,38,13.8,1,1,0.446,0.37,0.74,0,1,0,1,217,
Frank Kaminsky,316,University of Wisconsin,2015,22,9,83.75,84.75,83,109.5,,,,231,9.4,8.5,9.5,144,10.1,1,1,0.522,0.37,0.76,0,1,0,1,234,
Aaron Harrison,317,University of Kentucky,2015,21,0,76.5,78,80.25,100.5,34.5,135,28.5,209,6,8.3,10,79,12.4,1,1,0.41,0.34,0.79,1,0,0,0,34,
Alan Williams,318,"University of California, Santa Barbara",2015,22,0,79.25,80.25,85.75,106.5,28.5,135,25.5,261,12,8.5,9.5,112,15.5,1,1,0.492,0,0.71,0,1,0,0,62,
Chasson Randle,319,Stanford University,2015,23,0,72.75,73.5,79,96.5,39.5,136,33.5,179,4.5,8.5,9.5,144,16.5,1,1,0.428,0.39,0.81,1,0,0,0,26,
Christian Wood,320,"University of Nevada, Las Vegas",2015,20,0,81.25,82.5,87.25,111.5,,,,216,14.7,9.25,10.75,63,10.4,1,1,0.477,0.26,0.75,0,1,0,0,30,
Cliff Alexander,321,University of Kansas,2015,20,0,79.25,80.5,87.5,109.5,,,,239,5.8,9.5,10.25,28,7.1,1,1,0.566,0,0.67,0,1,0,0,8,
Quinn Cook,322,Duke University,2015,23,0,72.25,74,76,96.5,31,127.5,24.5,179,6.7,7.5,8.25,143,11,1,1,0.432,0.38,0.85,1,0,0,0,46,
T.J. McConnell,323,"Duquesne University, University of Arizona",2015,23,0,72.5,74,74,96.5,31.5,128,26,188,7.3,7.5,7,139,10.2,1,1,0.49,0.38,0.75,1,0,0,0,236,
Treveon Graham,324,Virginia Commonwealth University,2015,23,0,76.75,77.75,82.5,103,31.5,134.5,28.5,219,5.5,8.5,8.25,140,13.4,1,1,0.432,0.35,0.69,1,0,0,0,90,
Vince Hunter,325,University of Texas at El Paso,2015,23,0,78.75,79.5,83,104.5,37.5,142,33.5,208,4.6,9,8.75,0,0,1,1,0,0,0,0,1,0,0,4,
