name,player,college,draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,success
Dominique Jones,60,University of South Florida,2010,22,25,75.25,77,81.25,101,32.5,133.5,26,216,5.9,9,10.25,95,18.9,1,1,0.442,0.32,0.74,1,0,0,1,80,
Jordan Crawford,61,"Indiana University, Xavier University",2010,22,27,75,76.5,79,101,34.5,135.5,31.5,198,4.9,8,9,65,15.5,1,1,0.455,0.38,0.77,1,0,0,1,279,
Daniel Orton,62,University of Kentucky,2010,21,29,80.75,81.5,88.25,110.5,30.5,141,24,269,13.8,8.5,9.75,38,3.4,1,1,0.527,0,0.52,0,0,1,1,51,
Derrick Favors,63,Georgia Institute of Technology,2010,19,3,80.75,82.25,88,110,35.5,145.5,31.5,245,6.5,8.75,9.25,36,12.4,1,1,0.611,0,0.63,0,1,0,1,554,
Lazar Hayward,64,Marquette University,2010,24,30,76.5,77.75,84.75,102,36,138,31,226,7.5,9.25,9.5,138,13.5,1,1,0.452,0.36,0.79,0,1,0,1,72,
Dexter Pittman,65,University of Texas at Austin,2010,22,32,81.5,83.5,90,111,,,,303,20.8,10.25,10.5,134,6.6,1,1,0.623,0,0.6,0,0,1,1,50,
Hassan Whiteside,66,Marshall University,2010,21,33,82.5,83.5,91,113,31.5,144.5,27,227,5.5,8.25,10.25,34,13.1,1,1,0.524,0.6,0.59,0,0,1,1,269,
Armon Johnson,67,"University of Nevada, Reno",2010,21,34,74,75.25,80,99.5,38.5,138,31.5,195,5.6,8.25,9.25,101,14.3,1,1,0.467,0.29,0.75,1,0,0,1,47,
Darington Hobson,68,University of New Mexico,2010,24,37,77.25,78.5,81.25,104.5,34,138.5,29,204,6.2,8.25,9,35,15.9,1,1,0.44,0.36,0.65,1,0,0,1,5,
Andy Rautins,69,Syracuse University,2010,24,38,76.25,77,79,100,30.5,130.5,23.5,192,6.2,8,9.75,127,8.8,1,1,0.396,0.37,0.76,1,0,0,1,5,
Wesley Johnson,70,"Iowa State University, Syracuse University",2010,23,4,78.25,79.25,85,106,37,143,32,206,4.6,9,9.5,93,13.9,1,1,0.454,0.35,0.77,0,1,0,1,569,
Lance Stephenson,71,University of Cincinnati,2010,20,40,76.5,77.75,82.5,103,33,136,27,227,9.3,9,10.25,34,12.3,1,1,0.44,0.22,0.66,1,0,0,1,439,
