draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed
2015,20,22,81.5,82.5,86.0,108.5,31.5,140.0,25.0,246,8.9,9.5,9.25,70,15.0,1,1,0.526,0.37,0.74,0,1,0,1,197
2014,22,46,75.25,77.0,80.0,98.0,38.5,136.5,33.0,186,4.3,8.25,9.0,93,15.4,1,1,0.44,0.32,0.81,1,0,0,1,299
2012,21,39,78.75,80.25,82.75,103.0,31.0,134.0,28.0,216,7.8,9.0,9.0,87,11.3,1,1,0.431,0.32,0.77,0,1,0,1,376
2015,21,32,79.0,79.5,88.25,109.0,32.85911296994358,142.84136851402556,28.20100485229522,253,11.9,9.0,9.75,112,11.6,1,1,0.586,0.28,0.53,0,1,0,1,171
2013,20,12,82.75,84.0,88.5,109.5,33.0,142.5,28.5,255,6.7,9.5,11.0,32,7.2,1,1,0.5710000000000001,0.0,0.44,0,0,1,1,385
2013,23,52,76.0,77.25,79.0,100.0,34.0,134.0,28.0,189,4.0,8.25,8.5,101,11.6,1,1,0.429,0.31,0.74,1,0,0,1,76
2009,21,15,81.75,82.75,86.75,110.0,28.0,138.0,25.0,192,5.5,9.127503340145468,9.728931070728176,67,11.6,1,1,0.47700000000000004,0.42,0.79,0,1,0,1,293
2011,21,47,75.0,76.25,82.5,103.0,40.5,143.5,33.0,205,8.1,8.75,9.25,90,12.2,1,1,0.48200000000000004,0.33,0.74,1,0,0,1,10
2013,21,31,77.25,78.25,83.25,103.5,36.0,139.5,30.5,197,4.7,8.25,8.5,98,15.7,1,1,0.446,0.38,0.82,1,1,0,1,299
2009,20,24,83.75,85.25,85.5,111.0,32.5,143.5,28.5,258,8.5,9.014024957897767,9.636232488844305,33,8.8,1,1,0.638,0.0,0.56,0,0,1,1,189
2013,20,3,79.5,80.5,85.5,105.5,36.0,141.5,27.0,198,6.7,8.75,9.25,64,12.8,1,1,0.498,0.36,0.75,0,1,0,1,342
2013,24,0,82.0,83.5,88.0,109.0,32.5,141.5,28.0,239,8.4,9.0,11.0,51,7.1,1,1,0.52,0.0,0.61,0,0,1,0,285
2011,21,9,71.5,73.0,75.5,91.5,39.5,131.0,32.0,184,5.9,8.0,9.0,111,16.1,1,1,0.428,0.33,0.78,1,0,0,1,522
2010,21,54,74.5,75.75,78.0,99.5,31.5,131.0,23.0,208,7.6,8.5,9.5,57,15.2,1,1,0.45899999999999996,0.35,0.79,1,0,0,1,19
2009,21,55,71.25,72.5,74.0,95.0,33.0,128.0,27.5,175,6.9,7.9700238412189375,8.783405535512713,58,16.4,1,1,0.415,0.33,0.81,1,0,0,1,521
2014,23,33,76.75,78.25,78.0,100.0,33.5,133.5,28.5,215,6.2,8.5,9.75,135,12.6,1,1,0.445,0.41,0.72,1,0,0,1,186
2012,21,28,82.25,83.25,85.75,107.0,38.5,145.5,33.0,234,4.6,9.25,9.5,63,13.7,1,1,0.522,0.28,0.68,0,1,0,1,143
2014,20,18,73.0,74.5,79.25,98.0,36.0,134.0,29.0,182,6.2,8.25,8.75,34,12.9,1,1,0.41100000000000003,0.35,0.77,1,0,0,1,184
2012,22,47,77.0,78.25,78.75,99.0,36.5,135.5,31.0,194,5.8,8.5,8.5,128,15.8,1,1,0.44299999999999995,0.37,0.73,1,0,0,1,17
2011,20,8,73.5,75.25,78.75,98.5,37.5,136.0,29.0,177,4.2,8.25,9.5,38,17.3,1,1,0.423,0.38,0.8,1,0,0,1,382
2011,21,35,78.75,80.25,81.0,105.0,37.0,142.0,30.0,187,5.3,8.5,9.5,59,10.3,1,1,0.431,0.36,0.68,0,1,0,1,24
2011,20,4,79.5,80.75,85.25,108.5,35.0,143.5,30.0,227,6.2,8.75,9.25,36,13.1,1,1,0.546,0.0,0.49,0,1,0,1,517
2009,21,7,74.0,75.25,75.5,97.0,35.5,132.5,29.5,181,5.7,8.106197899916175,8.894643833773355,104,25.3,1,1,0.467,0.41,0.88,1,0,0,1,625
2014,21,40,77.5,78.75,82.0,100.5,41.5,142.0,36.5,211,5.1,9.0,9.5,62,27.5,1,1,0.479,0.39,0.77,0,1,0,1,688
2009,21,25,73.25,74.25,81.75,100.0,39.0,139.0,29.5,182,7.9,8.67358981115467,9.358136743192699,0,0.0,1,1,0.0,0.0,0.0,1,0,0,1,182
2012,23,30,81.75,83.5,89.75,108.0,33.5,141.5,34.0,264,5.5,9.0,10.75,121,7.7,1,1,0.562,0.0,0.58,0,0,1,1,170
2012,22,14,81.0,82.5,89.0,112.0,30.0,142.0,25.5,216,8.6,9.25,10.0,109,10.3,1,1,0.49700000000000005,0.21,0.48,0,0,1,1,389
2011,22,14,79.0,80.75,82.0,105.5,33.0,138.5,29.0,230,8.0,8.25,8.5,109,12.6,1,1,0.555,0.36,0.66,0,1,0,1,469
2015,21,18,79.75,81.0,83.5,106.0,34.5,140.5,25.5,219,7.5,8.5,9.25,113,12.1,1,1,0.493,0.35,0.7,0,1,0,1,151
2013,23,49,80.75,81.5,82.5,108.0,29.5,137.5,24.5,240,8.0,8.75,9.75,136,7.7,1,1,0.514,0.44,0.76,0,1,0,1,24
2015,22,0,79.25,80.25,85.75,106.5,28.5,135.0,25.5,261,12.0,8.5,9.5,112,15.5,1,1,0.49200000000000005,0.0,0.71,0,1,0,0,62
2013,23,22,83.25,84.5,83.0,108.0,36.0,144.0,30.5,238,6.2,9.75,9.5,141,9.8,1,1,0.574,0.2,0.58,0,0,1,1,387
2014,19,5,76.5,78.0,81.5,103.0,34.5,137.5,31.5,196,6.4,8.5,9.5,0,0.0,1,1,0.0,0.0,0.0,1,0,0,1,160
2012,22,17,83.25,84.5,84.0,104.5,34.0,138.5,30.0,247,6.4,9.0,9.75,117,12.8,1,1,0.5429999999999999,0.0,0.78,0,1,0,1,404
2012,19,3,75.25,76.75,80.0,100.0,39.0,139.0,33.0,202,6.0,8.5,9.0,37,14.8,1,1,0.445,0.34,0.77,1,0,0,1,404
2015,21,16,72.75,74.25,80.25,98.5,38.0,136.5,33.0,190,5.6,8.25,8.75,73,12.0,1,1,0.408,0.33,0.77,1,0,0,1,192
2010,21,33,82.5,83.5,91.0,113.0,31.5,144.5,27.0,227,5.5,8.25,10.25,34,13.1,1,1,0.524,0.6,0.59,0,0,1,1,269
2010,19,12,77.25,78.5,83.25,105.0,36.5,141.5,28.5,210,4.7,8.75,10.0,36,13.4,1,1,0.45799999999999996,0.42,0.78,1,0,0,1,185
2014,23,45,81.5,83.0,84.5,105.0,35.0,140.0,28.5,234,6.2,9.0,9.25,136,10.8,1,1,0.46399999999999997,0.29,0.72,0,1,0,1,253
2015,22,48,83.0,83.75,86.0,112.0,25.0,137.0,22.5,265,14.9,9.25,10.5,78,5.8,1,1,0.537,0.0,0.56,0,0,1,1,29
2014,25,0,79.5,81.25,85.0,107.0,35.5,142.5,30.5,209,6.0,9.0,8.5,69,8.9,1,1,0.531,0.0,0.67,0,0,1,0,40
2010,19,3,80.75,82.25,88.0,110.0,35.5,145.5,31.5,245,6.5,8.75,9.25,36,12.4,1,1,0.611,0.0,0.63,0,1,0,1,554
2014,22,23,79.25,80.5,80.5,103.0,36.0,139.0,29.0,208,7.5,8.5,8.5,67,13.3,1,1,0.455,0.4,0.77,1,1,0,1,248
2013,23,0,73.0,75.0,76.0,97.5,37.353369821824884,133.38123455291284,30.973426190935726,179,9.6,8.0,8.25,141,14.9,1,1,0.431,0.39,0.83,1,0,0,0,118
2014,22,0,75.0,76.25,80.25,100.0,32.0,132.0,28.0,202,6.1,9.0,9.25,62,17.0,1,1,0.441,0.39,0.78,1,0,0,0,19
2009,23,24,78.25,79.5,84.75,106.0,37.0,143.0,30.0,224,8.2,9.25,8.5,142,13.5,1,1,0.479,0.36,0.64,1,0,0,1,39
2014,24,58,75.75,77.25,84.5,104.0,34.5,138.5,27.5,179,5.2,8.75,8.5,114,13.3,1,1,0.41700000000000004,0.34,0.77,1,0,0,1,59
2012,22,0,82.0,83.75,88.0,108.0,29.5,137.5,26.5,241,7.7,9.25,10.0,121,4.9,1,1,0.479,0.12,0.65,0,0,1,0,135
2014,23,34,78.0,79.25,82.75,101.5,40.0,141.5,34.0,209,4.5,8.5,9.0,75,15.1,1,1,0.47,0.35,0.82,0,1,0,1,56
2013,20,6,82.0,83.75,87.75,110.0,32.468308026301735,142.45524059724545,27.9599247358917,206,4.2,9.5,10.0,24,10.5,1,1,0.59,0.0,0.53,0,0,1,1,223
2012,23,0,78.25,79.5,85.5,105.0,32.5,137.5,27.5,251,11.2,9.0,7.75,139,13.1,1,1,0.494,0.32,0.68,0,1,0,0,32
2010,22,32,81.5,83.5,90.0,111.0,32.07750308265988,144.19281622275594,27.718844619488177,303,20.8,10.25,10.5,134,6.6,1,1,0.623,0.0,0.6,0,0,1,1,50
2010,25,44,83.5,84.75,89.25,113.0,31.295893195376173,143.61362434758578,27.236684386681134,244,6.9,9.0,10.25,133,11.3,1,1,0.5670000000000001,0.0,0.7,0,0,1,1,65
2011,22,55,74.5,76.0,81.5,99.5,34.5,134.0,32.0,191,7.6,9.0,10.0,140,15.3,1,1,0.44,0.38,0.73,1,0,0,1,460
2009,22,52,78.25,80.0,81.75,106.0,31.0,137.0,27.0,240,11.2,8.75,9.75,129,19.2,1,1,0.47600000000000003,0.33,0.78,0,1,0,1,70
2011,23,48,82.0,83.0,87.75,109.5,36.0,145.5,31.5,217,6.1,9.5,11.0,135,14.1,1,1,0.5579999999999999,0.38,0.68,0,0,1,1,3
2015,22,6,83.25,84.5,87.0,111.0,32.07750308265988,141.87604872207527,27.718844619488177,242,6.3,9.5,9.0,105,8.0,1,1,0.593,0.0,0.51,0,1,0,1,212
2014,23,51,77.25,78.25,84.0,104.5,39.5,144.0,31.5,205,6.1,9.0,9.75,0,0.0,1,1,0.0,0.0,0.0,0,1,0,1,2
2015,22,45,73.75,74.75,79.75,97.5,43.0,140.5,34.5,177,5.3,8.25,8.5,66,20.4,1,1,0.455,0.38,0.77,1,0,0,1,483
2014,20,39,78.5,79.75,86.75,107.0,33.64072285722729,141.68298476368523,28.683165085102267,214,3.8,9.25,9.25,72,7.5,1,1,0.486,0.3,0.64,0,1,0,1,301
2012,24,51,78.0,79.0,83.0,104.0,35.0,139.0,28.5,215,8.6,9.0,9.0,140,10.5,1,1,0.449,0.33,0.7,0,1,0,1,10
2013,20,8,76.5,77.5,80.0,100.5,34.5,135.0,29.0,204,6.5,8.5,9.0,64,15.8,1,1,0.415,0.34,0.75,1,0,0,1,386
2011,23,28,72.25,73.75,74.25,95.5,38.5,134.0,29.5,174,4.7,8.5,9.5,140,14.1,1,1,0.435,0.32,0.83,1,0,0,1,360
